task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
55	2b/eec2e3	3484637	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435642)	COMPLETED	0	2026-05-11 09:31:49.838	29.7s	29.2s	91.0%	5 MB	7.1 MB	3.7 GB	414 B
51	74/1b0706	3489873	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435653)	COMPLETED	0	2026-05-11 09:32:06.502	44.5s	44.1s	96.8%	5 MB	7.1 MB	5.6 GB	411 B
37	8b/bfaac9	3464270	READ_PROCESSING:TRIM_GALORE (ERR11435645)	COMPLETED	0	2026-05-11 09:30:33.074	2m 37s	2m 37s	403.3%	97.4 MB	491.1 MB	5.9 GB	10.1 GB
47	8e/439e96	3427462	READ_PROCESSING:TRIM_GALORE (ERR11435655)	COMPLETED	0	2026-05-11 09:28:10.776	5m 5s	5m 5s	276.2%	105.2 MB	542.5 MB	7.6 GB	13.1 GB
52	cf/d8718a	3493368	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435655)	COMPLETED	0	2026-05-11 09:32:19.533	1m 7s	1m 7s	94.9%	4.9 MB	7.1 MB	7.6 GB	414 B
46	77/f43d27	3501525	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435650)	COMPLETED	0	2026-05-11 09:32:50.988	51.4s	50.8s	93.0%	5 MB	7.1 MB	5.7 GB	411 B
45	2e/8ad6bd	3507093	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435649)	COMPLETED	0	2026-05-11 09:33:10.315	44.7s	42.7s	97.3%	5 MB	7.1 MB	5.1 GB	411 B
56	82/f06623	3512172	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435648)	COMPLETED	0	2026-05-11 09:33:26.672	30s	28.3s	97.4%	5.1 MB	7.1 MB	4 GB	411 B
54	82/b55e4d	3516432	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435641)	COMPLETED	0	2026-05-11 09:33:42.406	15.9s	15.1s	98.7%	5 MB	7.1 MB	2.3 GB	411 B
48	10/7fc430	3448775	READ_PROCESSING:TRIM_GALORE (ERR11435657)	COMPLETED	0	2026-05-11 09:29:30.860	4m 34s	4m 33s	284.0%	93.9 MB	491.4 MB	7.2 GB	12.4 GB
58	ba/22b510	3520597	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435658)	COMPLETED	0	2026-05-11 09:33:56.724	25s	24.6s	95.8%	5 MB	7.1 MB	3 GB	414 B
60	2b/b55669	3524208	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435662)	COMPLETED	0	2026-05-11 09:34:05.076	28.9s	28.5s	99.7%	5 MB	7.1 MB	3.9 GB	411 B
57	d4/85dd65	3520392	READ_PROCESSING:CHECKSUM_VERIFY (ERR11435656)	COMPLETED	0	2026-05-11 09:33:55.061	44.4s	44.1s	96.9%	5 MB	7.1 MB	5.4 GB	411 B
4	bf/0862db	3484125	READ_PROCESSING:TRIM_GALORE (ERR11435646)	COMPLETED	0	2026-05-11 09:31:48.272	2m 56s	2m 55s	333.4%	97.7 MB	542.8 MB	5.3 GB	9.1 GB
44	17/5dbf64	3370154	READ_PROCESSING:FASTQC (ERR11435657)	COMPLETED	0	2026-05-11 09:24:29.443	10m 17s	10m 16s	150.9%	898.3 MB	4.3 GB	7.2 GB	4 MB
50	c7/91e8cd	3521451	READ_PROCESSING:FASTQC (ERR11435641)	COMPLETED	0	2026-05-11 09:33:58.309	2m 39s	2m 39s	191.1%	892.2 MB	4.3 GB	2.4 GB	4 MB
49	7d/b1710f	3565421	READ_PROCESSING:TRIM_GALORE (ERR11435641)	COMPLETED	0	2026-05-11 09:36:37.477	1m 16s	1m 16s	347.9%	97.2 MB	492.1 MB	2.4 GB	4.1 GB
